news,masked headline,ans,predicted_ans,calculation,response
"(Mar 18, 2020  3:00 PM CDT) Stocks are closing sharply lower as fears of a prolonged coronavirus-induced recession take hold. The Dow industrials lost 1338 points, or 6.3%, ending the day below the 20K mark at 19898. After a brutal few weeks, the Dow has now lost nearly all of its gains since President Trump's inauguration, the AP reports. Wednesday's losses deepened after a temporary halt was triggered in the early afternoon. Even prices for investments seen as very safe, like longer-term US Treasurys, fell as investors rushed to raise cash. The S&P 500 lost 131 points, or 5.1%, and the Nasdaq lost 344 points, or 4.7%. The price of oil fell 24% and dropped below $21 per barrel for the first time since 2002. After the close of trading, the New York Stock Exchange issued a statement announcing it will close the trading floor starting Monday, moving entirely to electronic trading, CNN reports. Two people at the NYSE have tested positive for the virus, the statement says.  NYSE’s trading floors provide unique value to issuers and investors, but our markets are fully capable of operating in an all-electronic fashion to serve all participants, and we will proceed in that manner until we can re-open our trading floors to our members,  the president of the NYSE says. Trading and regulatory oversight of trading will continue as usual, with normal operating hours.",Dow Ends Day Under <MASK>K,20,19,Copy(20),Dow Ends Day Under 19K
"(Feb 11, 2014  2:38 AM) A Beaumont, Texas, gun shop got a little more attention that it had bargained for with a rather unusual promotional stunt—a teenager in a banana costume standing by the road with an AK-47 on Saturday morning. Police briefly detained the 18-year-old after fielding calls from concerned citizens who saw him at a busy intersection, reports the Houston Chronicle. The police press release notes,  The rifle had a drum magazine attached with at least a 50-round capacity.  The teenager, who had the rifle across his back with the barrel pointing down and carried a sign with an arrow pointing to the store, was cited for violating a city ordinance that bans soliciting along roadways, KMBT reports. Golden Triangle Tactical owner Derek Poe says the plan was to alert customers to the store's new location. His shop was previously located in Parkdale Mall, reports 12 News, and Poe had a run-in with cops there in December while walking toward his store with an assault rifle on his back. He says he was within his rights; police charged him with disorderly conduct.",Cops Bust Banana Toting an AK-<MASK>,47,47,Copy(47),<MASK> = 47
"(Oct 7, 2010  8:37 AM CDT) When today's kids enter the job market in 20-something years, would-be employers checking up them may have no trouble finding ... their ultrasound photos. That's because they're leaving a digital trail a mile long, thanks to Mom and Dad. A new study has found that 23% of children had their pre-birth scans posted online. And once those babies leave the womb, things get crazier: 33% have photos uploaded to the Internet from birth; 7% of babies have their very own email address. Internet security firm AVG, which polled Internet-enabled moms in 10 countries, reports that by age two, 81% of toddlers have some kind of digital footprint.",<MASK>% of Babies Have Email Addresses,7,7,Copy(7),<MASK> = 7
"(Dec 31, 2009  8:00 AM) Stocks have rebounded mightily since the dark days of March, though analysts warn the dazzling recovery could make for a lackluster 2010, or even auger a double-dip recession or '30s-style yo-yoing markets. The good news first: Barring a disastrous close today, the Dow will be up around 61% since March lows, and 20% for the year, the best showing since 2003. The S&P and NASDAQ are also on track to have their best year since then. But history suggests caution may be in order for 2010, the Wall Street Journal notes. The big gain after a dizzying fall smacks of the 1930s and '70s, when stocks stagnated or even lost their value again. Even if that’s not the case, this rally was fueled by cheap deals and the realization that the financial system was not destined to totally melt down. And small investors are still wary of volatile bets. So don’t bet on 2010 just yet.",Stocks Close In on Big <MASK> Gains,2009,2010,Copy(2009),<MASK> = 2010
"(Apr 3, 2008  3:35 PM CDT) Michael Mukasey’s recent claim that surveillance laws barred eavesdropping on a crucial pre-9/11 phone call is either an attempt to scare up support for spying or a revelation of massive US failure, Glenn Greenwald writes in Salon. The 9/11 Commission never mentioned the mysterious phone call—and the executive director tells Greenwald he has no idea what the Attorney General is talking about. Further, Mukasey's claim that the restrictive law kept the government from saving lives is demonstrably false: FISA doesn’t, and never has, required a warrant for tapping foreign targets. Amazingly, Mukasey also appears to have  invented a critical episode  that all but blames civil libertarians for the terrorist attacks, Greenwald concludes, wondering, where’s the outrage?",AG's 'Invented' <MASK> Claim Is Scare Tactic,11-Sep,,Copy(9/11),<MASK> = Phone Call
"(Sep 30, 2009  9:32 AM CDT) Norman Hsu is a man of many hats, but the Hillary Clinton fundraiser extraordinaire, Ponzi schemer, and onetime fugitive has been sentenced to wear them in prison for the next 24 years. While significantly less than the 30 years prosecutors had asked for, Hsu’s lawyer tells the Wall Street Journal that his client plans an appeal. Though Hsu has admitted guilt, he says the prosecution inflated the size of his Ponzi scheme, which is taken into consideration when sentencing.  I know apologizing will not make things better for anyone,  Hsu told the court yesterday,  but I would still like to apologize.","Dem Donor, Ponzi Schemer Hsu Gets <MASK> Years",24,24,Copy(24),<MASK> = 24
"(Jun 29, 2016  10:26 AM CDT) One of the biggest political ads for Donald Trump yet is being released, and none other than the National Rifle Association is behind it, USA Today reports. The NRA's Political Victory Fund PAC put up $2 million to back the 30-second spot, the association's first ad campaign of Election 2016, and it's going right for one of Hillary Clinton's weak spots: Benghazi. The  Stop Clinton, Vote Trump  ad, which will air in six battleground states, puts security contractor and Marine Corps veteran Mark  Oz  Geist front and center to blast Clinton based on his own experiences fighting the attack on the US mission in 2012, which killed four Americans. As he strolls through a cemetery, Geist says,  A lot of people say they're not going to vote this November because their candidate didn't win. Well, I know some other people who won't be voting this year, either. Hillary as President? No thanks. I served in Benghazi. My friends didn't make it. They did their part. Do yours.  A Trump aide tweeted a picture Tuesday that said Clinton  murdered  Ambassador Chris Stevens, and Trump himself used Benghazi to lay into Clinton last week, tweeting,  If you want to know about Hillary Clinton's honesty & judgment, ask the family of Ambassador Stevens.  But in an interview Tuesday in the New Yorker, Dr. Anne Stevens, the ambassador's sister, concedes that the Libyan facility wasn't adequately protected—but she notes that wasn't Clinton's fault.  The Benghazi Mission was understaffed. … But, again, Chris knew that. He decided to take the risk to go there. It is not something they did to him. It is something he took on himself.  She adds that both the GOP and Democrat Benghazi reports that came out this week didn't seem to offer  anything new,  her brother's death has been  politicized,  and  I don't see any usefulness in continuing to criticize [Clinton]. It is very unjust.  (What does this ad mean for Trump's relationship with the NRA?)",NRA Makes $<MASK>M Pro-Trump Benghazi Ad Buy,2,2,Copy(2),NRA Makes $2M Pro-Trump Benghazi Ad Buy
"(Dec 20, 2010  4:37 PM) It doesn't quite have the ring of 101 Dalmatians, but 17 Rhodesian Ridgebacks are quite enough for one momma dog and her German owners. It took 4-year-old Etana 26 hours to give birth to the eight females and nine males in late September, reports the AP—and it's been nonstop ever since. Owner Ramona Wegemann says that as soon as she  finished feeding the last puppy, the first was hungry again.   But all of our puppies survived. This is incredible and wonderful,  says the 32-year-old, who put her job on hold while her husband took all the vacation he could to cope with five-a-day bottle feedings and round-the-clock playtime. Wegemann is asking $1315 per puppy, which mostly covers vet bills, food, and paperwork. She's got six takers, but quantities aren't that limited.",Arf! Arf! Dog Pops Out <MASK> Puppies,17,17,Copy(17),<MASK> = 17
"(Jul 23, 2012  8:24 AM CDT) California's Republican Party has hit on hard times—even as the Democrats preside over a nearly 11% unemployment rate. Not one Republican holds statewide office, and the party is at risk of falling behind both Democrats and independents in the state's electoral makeup within six years. Right now, Dems account for 43% of voters, Republicans 30%, and independents 21%, the New York Times reports.  We are at a lower point than we’ve ever been,  says US Rep. Kevin McCarthy.  It’s rebuilding time.  That 30% figure  makes it impossible to win a statewide election,  says a former GOP consultant.  It's no longer a statewide party,  and that's because, he says, members  have become too doctrinaire on the social issues. It’s become a cult.  In fact, the party has been struggling since 1994, when it embraced a tough illegal immigration stance that drove away the booming Hispanic vote. But state party chairman Tom Beccaro is hopeful that Republican economic positions will pave the way to a brighter future in a state where  the budget is way out of balance  and unemployment is the country's third-highest. Click through for the full piece.",Next Stop for California GOP: <MASK>rd Place?,3,3,Trans(third),<MASK> = 3rd
"(Feb 13, 2011  2:44 PM) It took protesters 18 days to oust Hosni Mubarak, and he used that time wisely, funneling his fortune into untraceable overseas accounts, according to Western intelligence sources. During his 30 years in power, Mubarak is said to have amassed anywhere between $4.8 billion and $64 billion, and demand is growing for the ex-president to be put on trial for corruption and stealing state wealth.  Half of the population lived in poverty, while Mubarak and those around him lived in heaven,  one protester tells the  Telegraph . Switzerland has already frozen Mubarak’s assets, and the UK may do the same, but intelligence sources say Mubarak has been trying to place his fortune out of investigators’ reach. He is said to have investments and properties in London, New York, Paris, and Beverly Hills. Mubarak is currently at his Sharm El-Sheikh villa, with unconfirmed reports suggesting he is under house arrest, but his final destination could be a Gulf state where the Mubaraks have investments—and friendly relations. Click for more on Mubarak's net worth.",Mubarak Used Final <MASK> Days to Hide His Fortune,18,18,Copy(18),<MASK> = 18
"(Jul 17, 2016  9:39 AM CDT) On the brink of the Cleveland convention that will take Donald Trump from  real estate mogul  to  Republican presidential nominee,  a new ABC News/Washington Post poll finds that 58% of Americans are not happy with the choice between Trump and Hillary Clinton. Trump finds similar numbers of Americans who think he's prejudiced against women and minorities, as well as those who see him as unqualified for the White House, with 56% and 60%, respectively. Thirty-nine percent of respondents said Clinton, who leads Trump by 47% to 43% among registered voters, was unqualified. Favorability ratings further underscore both candidates' lack of popularity: 57% of Trump voters say they mainly oppose Clinton, while 54% of Clinton voters are doing so to oppose Trump. A PDF of the entire poll is here.","In Clinton vs. Trump, <MASK>% Say No Thanks",60,58,Copy(60),<MASK> = 58
"(Oct 26, 2009  8:40 AM CDT) Democrats are pushing Senate leaders to rework their health care bills so that at least some benefits kick in by the 2010 and 2012 elections. As currently formulated, the bill would bring the pain immediately, in the form of $100 billion in industry fees, but its reforms mostly wouldn’t kick in until 2013.  We want to have as much front-ended as possible,  says Debbie Stabenow,  even though we know all of it can’t  be. Polls show that voters are largely unaware that the plan will take so long to start working. But Democrats believe it’s too complicated—and cost prohibitive—to implement immediately, so they’re looking for low-cost aspects to phase in early. Among the possibilities: discounts for seniors on brand-name drugs, tax credits for small businesses, and a $5 billion high-risk pool to cover people with preexisting conditions.","Dems Want Health Reform Rollout By 2010, <MASK>",2012,2012,Copy(2012),<MASK> = 2012
"(Nov 5, 2019  2:05 AM) Fired CEO Steve Easterbrook is getting a golden handshake from the Golden Arches. The McDonald's CEO will receive around $670000 from the company, which is half his annual salary. But according to a separation agreement filed Monday, Easterbrook will forfeit almost $22 million in unvested stock options, USA Today reports. The 52-year-old, who was fired for having a consensual relationship with an employee, received a total of $15.9 million from the company last year including salary, stock options, and incentive payments. His replacement, Chris Kempczinski, will have an annual base salary of $1.25 million with a bonus of up to 170% of salary, McDonald's says. The severance agreement bars Easterbrook from working for competing fast food chains or companies including Starbucks for two years. The company's top human resources executive is also leaving, the AP reports. McDonald's said Monday that Chief People Officer David Fairhurst has left the company effective immediately. The company said Fairhurst's departure was unrelated to Easterbrook's exit, although marketing exec Jordan Cohen suspects otherwise.  These types of scandals don't come out of nowhere so clearly there was a breakdown there,  he tells the Guardian.  Someone was aware of the situation and did not act to address it, didn't surface it to the board, or was acting to protect the CEO and not the interests of the company.",Fired McDonald's CEO Will Get $<MASK>K Golden Handshake,670,670,"Paraphrase(670,000,K)",<MASK> = 670
"(Mar 4, 2017  12:13 PM) Good news, Parrotheads, Jimmy Buffet is cooking up something that, as company CEO John Cohlan tells the Orlando Sentinel, will allow seniors to  live the Margaritaville lifestyle as they grow older, but not up.  That's right, the world is about get its first Margaritaville senior-living community. ABC News reports Latitude Margaritaville is scheduled to open in 2018 in Daytona Beach, Florida. It will feature 7000 homes, pools, live entertainment, a Cheeseburger in Paradise restaurant, a Five O'Clock Somewhere bar, and a 20-minute shuttle ride to a private beachfront. The $1 billion project—open to residents  55 and better —is just the start. Margaritaville is planning Buffet-inspired retirement communities around the country.",<MASK>st Margaritaville Retirement Community Opening in Florida,1,,Copy(1),"<MASK> = ""1st"""
"(Jun 1, 2010  2:28 AM CDT) Tainted drugs likely killed one reveler at a San Francisco-area rave and left 5 others fighting for their lives, according to police. More than 70 people were busted at the Cow Palace event and police are testing the ecstasy tablets, LSD, and methamphetamine seized at the scene for toxic substances, the San Francisco Chronicle reports. The death of a 23-year-old man is being treated as suspicious. Officers suspect somebody at the rave was either selling or giving away drugs that may have been deliberately cut or accidentally contaminated with a toxic substance. The symptoms—including kidney failure and internal bleeding— are very severe in some of the victims, and they go beyond what is normally seen in simple drug overdoses,  said a police spokesman.","<MASK> Dead, 5 Critical After SF 'Tainted Drug' Rave",1,1,Copy(1),<MASK> = 1
"(Nov 10, 2019  11:50 AM) At least 500 US troops are staying in Syria to fight ISIS after the withdrawal ordered by President Trump, the chairman of the Joint Chiefs said Sunday.  The objective will remain the same: the enduring defeat of ISIS,  Gen. Mark Milley said on ABC's This Week, the Hill reports. There were 1000 troops in Syria when Trump issued his order. After political pushback, Trump said a smaller number of troops would remain. It's not clear whether Milly's figure includes the 200 or so troops stationed at the al-Tanf garrison in southern Syria, per the AP. But the deployment will be 500 to 600—less than 1000  for sure,  Milley said. After his order, Trump added securing oil fields in eastern Syria to the mission. But ISIS is the concern, the general said.  There are still ISIS fighters in the region,  Milley said,  and unless pressure is maintained, unless attention is maintained on that group, then there's a very real possibility that conditions can be set for reemergence of ISIS.",US to Keep <MASK> or So Troops in Syria: General,500,500,Copy(500),<MASK> = 500
"(Feb 17, 2020  4:30 PM) Saying he wants to  preserve and protect the natural world,  Amazon founder Jeff Bezos kicked off the Bezos Earth Fund with an Instagram post Monday.  I'm committing $10 billion to start,  he wrote, saying he wants to work with scientists, nonprofits and activists to fight the effects of climate change. Grants will be awarded starting this summer, Bezos wrote. The fund will not invest in private-sector efforts but will instead focus on charitable giving, the Verge reports. There's been no word on how to apply for the grants. A spokesman would not say exactly where the $10 billion to start the Earth Fund is coming from, though Bezos recently sold $4 billion in Amazon stock. Bezos' wealth is pegged at $130 billion. Bezos has felt heat from inside his company and out over the impact Amazon has on the planet, Financial Times points out. Last year, hundreds of employees signed a letter critical of Amazon's efforts to reduce its carbon footprint. The company lags behind Microsoft by a decade in its schedule to become carbon negative—Microsoft's target is 2030. Bezos announced a Green Plan in September, just ahead of a global climate strike joined by Amazon employees. An employee group praised Bezos' newest commitment, per the Hill, but suggested hypocrisy in a statement:  The people of Earth need to know: When is Amazon going to stop helping oil & gas companies ravage Earth with still more oil and gas wells?",Effort to 'Save Earth' Starts With a $<MASK>B Bezos Check,10,10,Copy(10),<MASK> = 10
"(May 17, 2012  10:43 AM CDT) Disco queen Donna Summer died this morning at age 63, TMZ reports. Sources say the singer of such classics as  Last Dance  and  Hot Stuff  died in Florida after battling lung cancer, which she reportedly thought she contracted via toxic particles in New York City after the World Trade Center attacks. She had been trying to keep the severity of her illness quiet, and was hoping to finish her new album, sources say. The AP has a statement from Summer's family, who say they  are at peace celebrating her extraordinary life and her continued legacy.  Summer, a five-time Grammy winner, married fellow singer Bruce Sudano in 1980, and the couple had two daughters.",Donna Summer Dead at <MASK>,63,63,Copy(63),<MASK> = 63
"(Jul 9, 2018  10:45 AM CDT) He shared the screen with drag queen Divine, starred in Damn Yankees, and put out a No. 1 record. Now,  sad news  regarding Tab Hunter, who made hearts thump in general in the '50s: The actor and singer has died, just three days before he would have turned 87, per a Facebook page tied to the star. Allan Glaser, Hunter's romantic partner for more than 30 years, confirmed his death of a heart attack caused by a blood clot, calling his passing  unexpected and sudden,  per the Hollywood Reporter. Born in 1931 as Arthur Andrew Kelm, Hunter's stage name was brainstormed by talent agent Henry Willson, who also repped Rock Hudson. His blond surfer image nabbed him magazine covers and the role of Washington Senators star Joe Hardy in 1958's Damn Yankees. Hunter's 1957 Dot Records recording of  Young Love,  which stayed at No. 1 on the charts for six weeks, also spurred the creation of Warner Bros. Records after Jack Warner became irritated he didn't have his own record company to showcase the voice of his studio's star. Hunter appeared alongside Divine in John Waters' Polyester in 1981, as well as in 1985's Lust in the Dust, which also co-starred Divine. Although he was often seen out and about with Natalie Wood, Sophia Loren, and other big-name actresses, Hunter had a relationship with Anthony Perkins, and he confirmed he was gay in his 2005 autobiography. Meanwhile, his longtime love Glaser produced a 2015 documentary about Hunter entitled Tab Hunter Confidential, in which the actor discussed being a closeted gay man in Hollywood while simultaneously being seen as one of its biggest hunks.","A Hollywood Heartthrob, Singer Is Dead at <MASK>",86,87,"Subtract(87,1)",<MASK> = 87
"(Apr 14, 2017  8:37 AM CDT) The daughter of a New York Police Department officer killed in the 9/11 attacks is now a member of the force herself. Brittney Roy of Massapequa Park on Long Island was sworn in Thursday along with 473 other recruits, reports the AP. Her father, Sgt. Timothy Roy, had been assigned to the NYPD's surface transit enforcement division and was working in the Brooklyn courts when he heard reports of planes hitting the World Trade Center. The 36-year-old Roy rushed to Lower Manhattan to help and was last seen near the South Tower before it collapsed. His body was found the following March.  The day before St. Patrick’s Day, which was his favorite holiday, he was found,  said his daughter, per the Daily News.  We were able to bury his body at that point.  Now 22, she was just 7 years old when her father died.  Since I was very young, I grew up seeing heroes,  she said.","Her Dad Was Killed on <MASK>. Now She's on NYPD, Too",11-Sep,11-Sep,Copy(9/11),<MASK> = 9/11
"(Aug 22, 2014  4:05 PM CDT) In 1990, Han Tak Lee was convicted of murdering his daughter. Now, almost a quarter-century later, a judge says the 79-year-old's conviction rested on a scientific inaccuracy—and the former New York businessman is finally out of prison, the AP reports. According to a review of his case finished in June,  much of what was presented to Lee's jury as science is now conceded to be little more than superstition.  But Lee, who was initially sentenced to life without parole, the Morning Call notes, is not entirely out of the woods: Prosecutors say that there's more evidence against him, and they're likely to appeal. Prosecutors have 120 days to make their decision. For his part, Lee holds that a fire in the Pocono Mountains which resulted in his daughter's death was an accident, the AP notes. But investigators decades ago believed the fire was arson due to its intensity, which was once thought to indicate that an accelerant was used. Other features left in wood and windows after the fire were also seen as evidence of arson, but this is no longer considered accurate. The case is one of many facing renewed attention due to changes in the way arson is identified.","<MASK> Years Later, Science Overturns Arson Conviction",24,24,"Subtract(2014,1990)",<MASK> = 24
"(Feb 13, 2013  10:56 AM) In 2009 President Obama ordered the CIA's  black site  prisons closed. That same year, ProPublica reported that more than 30 people who had been held in them were unaccounted for. In a look at what's happened since, ProPublica reports that at least 20 prisoners remain missing. A 216-page report from the Open Society Foundation last week asserted that several of those who have  resurfaced  were transferred to prisons in Libya, Syria, and Egypt and ultimately gained their freedom in the Arab Spring uprisings; one was found to have died in a Libyan jail in 2009. The report contains the longest list yet of those detained or transferred by the CIA: some 136 people.",<MASK> People Held in Secret CIA Prisons Still Missing,20,20,Copy(20),<MASK> = 20
"(Aug 21, 2011  10:35 AM CDT) Residents near where Flight 93 crashed in southwestern Pennsylvania once feared that souvenir hawkers and fast-food entrepreneurs would try to cash in on the 9/11 memorial. The opposite has been the case, the Wall Street Journal finds. The memorial, which opens next month, is expected to draw nearly a quarter of a million visitors a year, but the area is underserved by businesses, meaning travelers will have a hard time finding a meal or a place to stay anywhere near the site—especially if they come by the busload. The county could definitely use more jobs, but a lack of infrastructure and the weak economy are discouraging people from starting new businesses, as is a wish not to be seen to be exploiting the tragedy. Visitors  are here to pay their respects and I don't want to take advantage of people—but of course I'm hoping business improves,  says the owner of a sports bar a few miles away from the memorial.","Around Flight <MASK> Memorial, a Tourist Wasteland",93,93,Copy(93),<MASK> = 93
