news,masked headline,ans,predicted_ans,calculation,response
"(Sep 22, 2013  6:53 AM CDT) We are a couple of weeks away from getting our newly designed $100 bills, and when they arrive on October 8, some will actually be worth $1000 ... or more. No, the government isn't slipping in an extra zero. But it is including, as always, an eight-digit serial number. And as the Boston Globe explains, currency collectors will pay big if the numbers are  fancy.  That's the collectors' term, not the Globe's, for serial numbers that fall in a number of categories: there are  low  (00000001 through 00000100),  ladders  (43210987),  radar' (43788734),  solids  (33333333), and  repeaters  (82118211). Then there are random ones: 31415927 (pi) or 07041776 (read that as 07/04/1776). The low number ones are among the most valuable, with new $100 bills with 00000001 expected to sell for as much as $15000. (Before the serial number you'll see one or two letters; these indicate which Federal Reserve bank issued it. As such, there can be more than one bill in any denomination with the same serial number in a given year.) So how do you get your hands on one? It helps if you have friends in high and very secure places. Bank employees, especially vault workers, are typically able to swap out a normal bill for a fancy one, says the director of currency of a Dallas auction house, and since bricks of money are marked with the serial number range, they can spot the bills fairly easily. But no one is going to become an instant millionaire: Bills in the 00000001 to 00000100 range are specifically split up. Still, feel free to pull out your wallet and take a look: Philly.com notes that CoolSerialNumbers is looking to buy these bills. (Click for another wild money story.)",Some of the New $[MASK] Bills Will Be Worth $1K--or More,100,100,Copy(100),"{
  ""ans"": ""100""
}"
"(Nov 21, 2014  6:48 AM) It was during a water-gun fight at her senior living facility over the summer that Ruby Holt told bystanders she had always wanted to see the ocean, which she had never visited in her century on this planet. With the encouragement of employees at the Tennessee facility where she resides, Holt, who will turn 101 on Dec. 13, entered and won the  Wish of a Lifetime  contest held by her center's parent company. Her prize: a three-night stay in a beachfront room along the Gulf of Mexico in Orange Beach, Ala., AL.com reports. Holt made the six-hour trip there earlier this week to start realizing her dream: She has eaten seafood on the shore, watched dolphins and pelicans frolic in the water, explored the beach in a wheelchair equipped with heavy-duty sand wheels, and dipped her feet in the Gulf. The mayor of Orange Beach even came by to present her with a special plaque and gift bag. Though Holt says she enjoys traveling, she spent most of her working life picking cotton in rural Tennessee, as per USA Today, and she had four kids and a husband who worked a lot, the Columbia Daily Herald reports. That didn't leave her much time to go anywhere far from home.  There was always something to do,  she tells the Herald, explaining why, for the first 100 years of her life, the beach was something she saw only in pictures. One of the workers who helped bring her dream to fruition tells the Herald,  Being 100 years old and never seeing the ocean--to me, that shouldn't happen. The ocean is ... a God gift. It's a once-in-a-lifetime thing.  (The final wish of a 77-year-old woman in England involved a horse.)",[MASK]-Year-Old Woman Sees Ocean for First Time,100,100,Copy(100),"{
  ""ans"": 100
}"
"(Apr 20, 2011  11:48 AM CDT) Lee Farkas, the founder of what was once one of America's largest mortgage lenders, has been convicted of fraud in a huge scheme to bilk investors with bogus mortgages. Prosecutors said Farkas had orchestrated a plot in which the firm he chaired, Taylor, Bean & Whitaker, secretly overdrew Colonial Bank's accounts, then covered it up by selling the bank $1.5 billion in  worthless  and  fake  mortgages--which the government cheerfully guaranteed, the New York Times reports. Farkas and other executives also created a subsidiary called Ocala Funding, which sold commercial paper to big firms and never made good on it. The schemes wound up taking in $2.9 billion and helped destroy Colonial Bank. Farkas personally pocketed about $20 million, and now faces decades in prison. The case marks a rare financial crisis win for the Justice Department--or, as Gawker snarkily puts it,  One Rich Guy Finally Convicted for Mortgage Meltdown.",Key Lending Exec Guilty in $[MASK]B Fraud,2.9,2.9,Copy(2.9),"{""ans"": ""2.9""}"
"(Oct 11, 2008  10:06 AM CDT) Mexican gangs battling over drug routes to the US show no signs of easing up on the mayhem, the Los Angeles Times reports. In a spasm of violence over the last 2 days, gunmen raked patrons of a bar in Chihuahua and killed 11; a newspaper publisher was shot to death and dumped on a roadside; two federal agents and two suspected smugglers died in a highway shootout; and 13 people were shot to death in Tijuana. Mexico is in the midst of an unprecedented wave of violence as gangs battle with authorities and with each other over control of routes to California, Arizona, and Texas, the New York Times notes. More than 3000 people have died this year alone.",More Than [MASK] Dozen Killed in Mexican Drug Violence,2,a dozen,Copy(2),"{""ans"": ""a dozen""}"
"(Aug 8, 2013  7:30 AM CDT) Now that the Supreme Court has overturned the Defense of Marriage Act, the Pentagon is reviewing a plan that would extend full marriage benefits to same-sex couples by the end of this month, according to a draft memo from Defense Secretary Chuck Hagel outlining the proposal obtained yesterday by the AP. In the process, the Defense Department would ditch a previous plan that would have allowed unmarried same-sex couples access to some limited benefits after signing a declaration form. Now, troops will actually need to be legally married to get the benefits, but the military will give them 10 days of leave so they can travel to a state where gay marriage is legal and tie the knot. In the memo, Hagel says that the Joint Chiefs of Staff unanimously agreed that  the spousal and family benefits far outweigh the benefits that could be extended under a declaration system.  A source tells the AP the Justice Department is reviewing the memo, and that the Pentagon can take action once that is complete.",Memo: Gay Troops to Get [MASK] Days of Leave to Marry,10,10,Copy(10),"{""ans"": 10}"
"(Apr 20, 2020  9:50 AM CDT) This time, Facebook hopes to use data collection for the greater good. (Unlike, say, this time.) The company on Monday unveiled a map that tracks coronavirus symptoms county by county across the US, reports CNET. The idea is to help hospitals and local health officials get a better sense of the virus's presence in their communities and to stay ahead of hot spots. The information comes from a survey that Facebook users fill out voluntarily, and the questionnaire itself is from the Carnegie Mellon University Delphi Research Group. Facebook says it doesn't  receive, collect, or store individual survey responses  in a map disclaimer.  The world has faced pandemics before, but this time we have a new superpower: the ability to gather and share data for good,  Zuckerberg writes in a Washington Post op-ed.  If we use it responsibly, I'm optimistic that data can help the world respond to this health crisis and get us started on the road to recovery.  NBC News notes that two Facebook alums--Instagram co-founders Kevin Systrom and Mike Krieger--have launched a website to track the spread of COVID-19 on the state level.",Zuckerberg: We Have 'New Superpower' in COVID-[MASK] Fight,19,19,Copy(19),"{""ans"": ""19""}"
"(Dec 7, 2013  10:42 AM) The Air Force is testing a new stealth drone at Area 51 that's designed to penetrate  contested  areas--in other words, countries where the US is not at all welcome, Aviation Week reports. Dubbed the RQ-180, the unmanned Northrop Grumman plane is thought to have better stealth design and aerodynamics than the Lockheed Martin RQ-170 Sentinel that often flew out of Afghanistan (one was apparently captured by Iran). The Air Force won't confirm, but Northrop Grumman's financial reports and Area 51's big new hangars suggest that RQ-180 testing is underway. This explains how the Air Force is planning to improve its ISR (intelligence, surveillance, and reconnaissance) in  contested  areas--a problem they have admitted to before.  The mix is not where it needs to be,  said an Air Force ISR official three months ago.  We are over-invested in permissive ISR and we have to transform the force to fight and win in contested environments.  In other words,  permissive  areas like Afghanistan and Iraq are considered a thing of the past. So how many will the Air Force buy? Maybe just a few, since they'll be expensive and harder to keep under wraps if purchased in bulk. Hat tip, Wired. (See Iran's claim to its  biggest drone yet. )",Sleek New Drone Flies Over Area [MASK],51,51,Copy(51),"{""ans"": ""51""}"
"(Jan 11, 2016  11:36 AM) Gunmen set off a car bomb at the entrance to a mall in mainly Shiite eastern Baghdad on Monday, killing at least 10 people and wounding 25 as the attackers raced inside and took hostages, Iraqi officials said. That number is likely to fluctuate as the story develops: Al Jazeera and Reuters report the death count as being at least seven, with at least 19 but up to 27 injured, per state TV. Police and medical officials, who spoke on condition of anonymity, estimated that 50 to 75 people were trapped inside the Jawhara Mall, per the AP. Those officials said gunmen could be seen on the roof of the mall, adding that at least three police were among the dead. Meanwhile, an interior ministry rep cited on state TV said security forces were surrounding the mall, which the rep called the site of   a terrorist attack,  Reuters notes. No one immediately claimed responsibility, but the Islamic State group often targets the country's Shiite majority, per the AP. Two police sources tell Reuters there were four gunmen.","[MASK] Killed as Gunmen Bomb, Storm Iraq Mall",10,10,Copy(10),"{
  ""ans"": 10
}"
"(Jun 6, 2011  10:09 AM CDT) A Utah man was cited for disorderly conduct after he paid a disputed medical bill--because he happened to settle his tab with 2500 pennies. Though Jason West did ask clinic workers if they accepted cash, they probably weren't expecting him to dump an avalanche of coins on their counter as payment of the $25 bill. West, 38, apparently believed he didn't owe the money to the clinic, reports the Deseret News. He demanded that the workers count each penny, and left when clinic staff said they were calling police. But the cops caught up with him, and noted that his actions served  no legitimate purpose.  Added an assistant police chief,  The pennies were strewn about the counter and the floor.  The infraction could carry a fine of as much as $140--which the AP points out is 14000 pennies.",Man in Trouble After Paying $25 Bill With [MASK] Pennies,"2,500",2500,"Copy(2,500)","{""ans"": 2500}"
"(Oct 7, 2018  12:14 PM CDT) A crash involving a limousine at an upstate New York tourist spot killed 20 people, officials said Sunday. A person with knowledge of the investigation tells the AP that 18 of the victims were in the limo and two were bystanders. Local officials tell the Times Union of Albany that a limo speeding down a hill hit bystanders Saturday afternoon at the Apple Barrel Country Store in Schoharie, about 170 miles north of New York City. State police confirmed Sunday the death toll and said the crash involved two vehicles, one an SUV-style stretch limo. Customers in the parking lot were killed when they were hit by the limo coming down a hill on state Route 30 at  probably over 60 mph,  Apple Barrel manager Jessica Kirby tells the New York Times.",Horrific Limo Crash Kills [MASK],20,20,Copy(20),"{""ans"": ""20""}"
"(Jan 4, 2008  3:17 PM) Martina Hingis received a 2-year ban from competitive tennis today after testing positive for cocaine at last year's Wimbledon tournament, the BBC reports. The former world No. 1 had already announced her retirement, so the ban may not mean much, but she also has to return about $130000 in prize money from her third-place Wimbledon finish and from subsequent events, the AP reports. Hingis, ranked 19th at the time, angrily denied the drug charges when they were announced in November. But ITF officials rejected her contention that the sample came from someone else. The five-time Grand Slam winner has 3 weeks to appeal today's ruling, but  since Martina has retired from competitive sports, it makes no sense for her to challenge the judgment,  her manager said.",Hingis Nets [MASK]-Year Ban for Coke,2,2,Copy(2),"{
  ""ans"": 2
}"
"(Feb 4, 2009  10:00 AM) Patricia Crown, an anthropologist at the University of New Mexico, spent years puzzling over the round clay jars decorated with intricate zigzagging shapes, dating from the 11th century, found in Pueblo ruins in Chaco Canyon. But a scientific study led her to a surprising conclusion: they weren't drums or holders of sacred objects, but vessels used to drink chocolate. As the New York Times reports, her discovery offers the earliest example of chocolate use north of the Mexican border. Crown submitted fragments of the jars to a lab at Hershey's, which found traces of cacao using liquid chromatography and mass spectrometry. The presence of chocolate in the modern United States testifies to a robust trading network throughout the Americas, especially for luxury goods like cacao beans--whose expense justified the fine earthenware.  It's as if you were having a dinner party and serving champagne,  said one museum curator.",Solution to [MASK]th-Century Mystery: Hot Chocolate,11,11th,Copy(11),"{
  ""ans"": ""11th""
}"
"(May 25, 2010  2:37 PM CDT) Bono's back surgery has derailed U2's plans for a 16-city jaunt across North America, which now won't happen until next year, the band announced today. The tour, part of U2's larger 360deg world tour, was supposed to kick off next month, but doctors are prescribing a DL stint of at least 8 weeks for Bono, EW reports. Fans are urged to keep their tickets, which will be valid whenever the tour is rescheduled.",Bono's Surgery Delays U[MASK] Tour Until 2011,2,2,Copy(2),"{
  ""ans"": ""2""
}"
"(Aug 13, 2009  3:54 AM CDT) Hillary Clinton told an audience of Nigerians yesterday that while their country's democracy is deeply flawed, the Florida presidential race recount shows America's isn't perfect either, the Guardian reports.  Our democracy is still evolving,  Clinton said.  We had some problems in some of our presidential elections. In 2000 our presidential election came down to one state where the brother of one of the men running for president was governor of the state. So we have our problems, too.  State Department officials stood by Clinton's comments, saying that she made the comparison to stress that a peaceful transfer of power happened despite the dispute. Clinton held up last year's US election as an example for Nigeria, which goes to the polls in 2011.  In my country the man that I was running against, and spent a lot of time and effort to defeat, asked me to join his government,  she said.  So there is a way to begin to make this transition that will lead to free and fair elections.",Hillary Compares Nigeria Democracy to Florida [MASK],2000,2000,Copy(2000),"{
  ""ans"": ""2000""
}"
"(Aug 7, 2018  6:30 PM CDT) Kevin Hart has surprised 18 students with scholarships to college totaling $600000. Per the Philadelphia Inquirer, the comedian's Help from the Hart Charity has teamed up with the United Negro College Fund and the Knowledge is Power Program to help students from eight US cities who are attending 11 different historically black college and universities. The students were chosen based on academic and personal achievements and  may receive substantive renewable awards based on need,  according to a press release from UNCF, which bills itself as the largest provider of college scholarships for students of color in the US. Hart posted a photo of himself with the recipients to Instagram on Tuesday with a promise.  This is just the beginning people!!!! My  Help From The Hart Charity  is about to do a lot more!!!!!",Kevin Hart Surprises [MASK] Kids With College Scholarships,18,18,Copy(18),"{
  ""ans"": 18
}"
"(Jul 20, 2012  3:19 AM CDT) A least 12 people were killed and dozens injured in Colorado early this morning when a gunman kicked in a theater exit door during a midnight showing of The Dark Knight Rises and opened fire with an assault rifle, NBC reports. (Earlier reports put the toll at 14.) The rampage occurred at a Century 16 theater in an Aurora mall outside Denver after the gunman apparently tossed a tear gas canister into the theater before opening fire. A suspect, who was wearing a gas mask, is in custody. Initially, some movie fans thought the gunshots were part of the film, according to a reporter for 850 KOA Radio. Others thought  they heard firecrackers, then they saw the bullets flying,  she added, citing witnesses. Panicked moviegoers stampeded for the doors when they realized what was happening as the six-foot gunman clad in black continued to squeeze off rounds. Three local hospitals were alerted to prepare for a  mass casualty  incident. Some of the 50 injured are in critical condition. The Denver suburb has been hit with a spate of violence recently, with a number of shootings in the past few weeks, according to the Denver Post.",[MASK] Dead in Colo. Shooting at Dark Knight  Movie,12,12,Copy(12),"{""ans"": ""12""}"
"(Feb 1, 2008  8:36 AM) Heavy trains have triggered floods and landslides across the Indonesian archipelago, killing at least 12 people and displacing thousands, Reuters reports. Jakarta's 14 million citizens are wading through knee-high water, and the country's president was forced to abandon his bulletproof car after getting stuck. On Java, more than 10000 houses were inundated, forcing residents into tents on the street. In Sumatra's Aceh province, site of the worst damage of the 2006 tsunami, eight people died after a landslide buried a pair of houses. Landslides have become increasingly common in Indonesia's rainy season; with hillsides stripped of vegetation, the soil comes loose more easily, with deadly consequences. The rains are expected to continue until tomorrow.",Indonesian Floods Kill [MASK],12,12,Copy(12),"{
  ""ans"": 12
}"
"(Nov 19, 2017  12:30 PM) Zimbabwe's President Robert Mugabe is resigning after nearly four decades in power, according to an official close to the talks on his departure, the AP reports. The news came hours after the ruling party's Central Committee on Sunday fired Mugabe as party leader and said if he didn't resign as the country's president by noon Monday it would start impeachment proceedings. Mugabe was set to address the nation shortly on state-run television. The official close to the talks spoke on condition of anonymity because he was not authorized to speak to reporters. It is an extraordinary end to 37 years in power for the world's oldest head of state, who had vowed to rule until death.",Report: Mugabe Resigning After [MASK] Years in Power,37,37,Copy(37),"{""ans"": ""37""}"
"(Dec 15, 2014  8:08 AM) A 4-year-old boy went on a couple of roller-coaster rides during a family vacation over the summer and left the amusement park with a torn carotid artery. Doctors report in the journal Pediatric Neurology that the jerkiness and gravitational forces of the ride appear to be the culprit, and that the tear resulted in a blood clot that traveled to the boy's brain, causing a stroke. The boy began vomiting the next day, then developed a droop on the left side of his face on the flight home and soon couldn't walk, reports Eureka Alerts. The doctors say that while several cases of stroke resulting from roller-coaster rides have been documented in adults, this is the youngest known case--in fact, they've identified only two other pediatric cases in medical literature, a 13-year-old and an 11-year-old. Researchers note that children under 10 possess weak neck muscles and relatively large heads, a  hypermobility  that makes them more vulnerable to such tears,  albeit rarely.  Six months after this event, which doctors treated with low-dose aspirin, the boy still has weakness on his left side but is able to move his arm, grip objects, talk normally, perform above average in school, and even take karate lessons, which is part of his therapy, reports CBS News. (Another 4-year-old boy is fighting a mystery illness that has left him ravaged by strokes.)",Roller Coaster Triggers Stroke in [MASK]-Year-Old,4,4,Copy(4),"{
  ""ans"": ""4""
}"
"(Sep 5, 2009  12:50 PM CDT) Top finance officials from rich and developing countries today pledged to maintain stimulus measures to boost the global economy, warning that the fledging recovery that provided the backdrop to their meeting is by no means assured. Group of 20 finance ministers also promised a crackdown on bankers' pay--but stopped short of a European push for a cap on bonuses after US and British objections. A joint communique said monetary policy will stay  expansionary  for as long as needed to reduce the chances of a double-dip recession. The communique said work will continue on the possibility of introducing a cap mechanism on bankers' bonuses, but the group did not commit to the measure. Instead, the G-20 proposed clawback mechanisms to ensure that bonuses are linked to the long-term success of deals.",G-[MASK] Pledges to Keep Stimulus Flowing,20,20,Copy(20),"{
  ""ans"": ""20""
}"
"(Feb 13, 2019  4:29 AM) Nobody is going to be flying in or out of Belgium on Wednesday--at least not on commercial aircraft. All flights have been canceled for 24 hours amid a general strike by public transport workers, whose unions are calling for wage increases and have rejected a proposal of a 0.8% increase for the next two years, the BBC reports. The Skeyes air traffic control agency says it had to close the country's airspace because it could not determine how many controllers would show up for work. Flights above 24600 feet are controlled by a Europe-wide agency and will not have to detour around the country. The strike is also affecting buses, trains, police, and hospitals, Deutsche Welle reports. NATO says a Wednesday meeting of defense ministers in Brussels will not be affected.",All Flights to Belgium Canceled for [MASK] Hours,24,24,Copy(24),"{""ans"": ""24""}"
"(Feb 4, 2009  3:44 PM) Congress has decided to give people four more months to prepare for the upcoming transition from analog to digital TV. The House voted today to postpone the end of analog TV signals until June 12. The Senate passed a similar measure last week, so it now goes to President Obama, who has pledged to sign it. The move is meant to address concerns that more than 6.5 million Americans wouldn't be ready by the original Feb. 17 deadline.",Congress Delays Digital TV Switch Until June [MASK],12,12,Copy(12),"{""ans"": ""12""}"
"(Nov 15, 2019  11:28 AM) Don't bother with Apple for your vaping-related apps: Axios reports the company is removing all 181 apps related to e-cigarettes and vaping from its App Store.  We take great care to curate the App Store as a trusted place for customers, particularly youth, to download apps,  Apple says in a statement to Axios. The company notes that experts have tied lung injuries and deaths to vaping products and called this a  public health crisis and a youth epidemic.  Apple concurs, and so has nixed all current vaping-related apps and updated its App Store guidelines so future ones will be rejected. The company never hosted apps that actually sold vape cartridges, but it did make accessory apps available for download that allowed people to control the lighting and temperature of their vaping devices, as well as apps that offered vaping-themed news and games. The move comes a day after the Centers for Disease Control issued its latest update on the matter, reporting that 42 people have died in 24 states and the District of Columbia from vaping-related illnesses. Users who've already downloaded vaping apps can keep using them and also transfer them to other devices. (The CDC has had a  breakthrough  on the vaping illnesses.)","After Dozens of Deaths, Apple Nixes [MASK] Apps",181,181,Copy(181),"{""ans"": ""181""}"
"(Jan 29, 2012  6:05 AM) Occupy Oakland yesterday had its stormiest protests since November, with about 300 people were arrested in a chaotic day, reports the AP. About 2000 demonstrators gathered at one point, clashing with police throughout the day. Some protesters hurled rocks, bottles, and other objects, while City Hall was broken into and an American flag was burned. Police responded with tear gas and flash grenades, in addition to the arrests. Protesters marched on an empty convention center in the afternoon--intending to take it over, according to police. Along the way, some demonstrators tore down perimeter fencing, destroyed construction equipment, and threw objects at police. The police were able to break up the group by 4pm, but many then headed downtown, breaking into a YMCA building and City Hall, which is when most of the arrests occurred. City Mayor Jean Quan called on the Occupiers to  stop using Oakland as its playground.",[MASK] Arrested in Occupy Oakland Chaos,300,300,Copy(300),"{
  ""ans"": 300
}"
"(May 8, 2009  9:39 AM CDT) The grand dame of L'Oreal will submit to psychiatric tests after her daughter complained in court about the $1.5 billion in gifts she has lavished on a 61-year-old male friend, the Guardian reports. Liliane Bettencourt, 86, agreed to testing to prove she's mentally competent. An angry Bettencourt told a French newspaper she can spend her money as she pleases, including on gifts for the society photographer. She described him as an  artist,  adding:  Artists see things differently.","Generosity Earns L'Oreal Heiress, [MASK], Date With Shrink",86,1.5,Copy(86),"{""ans"": ""1.5""}"
"(Nov 16, 2013  5:05 PM) It's not much of a secret around Hollywood that long before Channing Tatum was People's Sexiest Man Alive, he was a stripper. But he's far from the only celebrity with stripping in his past. Fox News rounds up 10 more. Check out a sampling in the gallery, or click for the full list.",[MASK] Celebs Who Used to Be Strippers,5,10,Copy(5),"{
  ""ans"": ""10""
}"
